id,name,description,resource_type,website,twitter,facebook,instagram,snapchat,address_line1,address_line2,address_line3,city_name,state,zip_code,leadership,public_phone,public_email,hours,latitude,longitude,is_active,is_pending,date_created,account_id,audio_id,image_id,video
1,Diabetic Garden of Eating,,Community Garden,,,,,,3001 James Ave N,,,Minneapolis,MN,55411,,651.800.6024,,,45.01153,-93.30096,TRUE,FALSE,2016-06-03 14:14:14,,,,
2,15th Avenue N. Community Garden,,Community Garden,,,,,,1312 15th Avenue N,,,Minneapolis,MN,55411,,612.354.2553,,,44.99448,-93.29792,TRUE,FALSE,2016-06-03 14:14:14,,,,
3,Bryant Dupont Block Club/ Lower Hawthorne Community Garden,,Community Garden,,,,,,2131 Bryant Ave N,,,Minneapolis,MN,55411,,,,,45.00138,-93.29049,TRUE,FALSE,2016-06-03 14:14:14,,,,
4,North End Community Garden (Project Sweetie Pie),,Community Garden,,,,,,3031 Penn Ave N,,,Minneapolis,MN,55411,,,,,45.01235,-93.30843,TRUE,FALSE,2016-06-03 14:14:14,,,,
5,Karamu Garden (Project Sweetie Pie),,Community Garden,http://www.pricoldclimate.org/programs/education/farming-programs/item/341-apprentice-site-project-sweetie-pie,,,,,1600 Plymouth Ave,,,Minneapolis,MN,55411,,763.227.4881,,,44.9917,-93.30098,TRUE,FALSE,2016-06-03 14:14:14,,,,
6,(Project Sweetie Pie & Afro Eco) 12th & Morgan,,Community Garden,projectsweetiepie.org,,,,,1119 Morgan Ave N,,,Minneapolis,MN,55411,,763.227.4882,,,44.98946,-93.30449,TRUE,FALSE,2016-06-03 14:14:14,,,,
7,The Story Garden,,Community Garden,,,,,,3502 Humboldt Ave N,,,Minneapolis,MN,55412,,,,,45.01874,-93.29788,TRUE,FALSE,2016-06-03 14:14:14,,,,
8,Hawthorne EcoVillage Community Garden,,Community Garden,,,,,,616 31st Ave N,,,Minneapolis,MN,55411,,,,,45.01214,-93.28727,TRUE,FALSE,2016-06-03 14:14:14,,,,
9,Sheridan Ave Community Garden,,Community Garden,,,,,,Sheridan Ave N & Oak Park Ave N,,,Minneapolis,MN,55411,,,,,44.98791,-93.31291,TRUE,FALSE,2016-06-03 14:14:14,,,,
10,Neighborly Needs Community Garden,,Community Garden,,,,,,1729 Lyndale Ave N,,,Minneapolis,MN,55411,,612.414.3239,,,44.99723,-93.288325,TRUE,FALSE,2016-06-03 14:14:14,,,,
11,Appetite for Growing Garden,,Community Garden,fcmn.org,,,,,1722 26th Ave N,,,Minneapolis,MN,55411,,,,,45.006197,-93.301659,TRUE,FALSE,2016-06-03 14:14:14,,,,
12,Agape Peace Garden,,Community Garden,oasisoflove.org,,,,,2305 Emerson Ave N,,,Minneapolis,MN,55411,,612.287.9775,,,45.002909,-93.294521,TRUE,FALSE,2016-06-03 14:14:14,,,,
13,South Hawthorne Community Garden,,Community Garden,,,,,,2123 6th St. N,,,Minneapolis,MN,55411,,,,,45.000961,-93.28689,TRUE,FALSE,2016-06-03 14:14:14,,,,
14,Thomas Avenue Garden,,Community Garden,,,,,,1317 Thomas Ave N,,,Minneapolis,MN,55411,,651.239.8827,,,44.992191,-93.313704,TRUE,FALSE,2016-06-03 14:14:14,,,,
15,Queen Avenue Garden,,Community Garden,,,,,,2207 Queen Ave N,,,Minneapolis,MN,55411,,,,,45.001805,-93.309832,TRUE,FALSE,2016-06-03 14:14:14,,,,
16,Project Superman Neighborhood Garden,,Community Garden,projectsweetiepie.org,,,,,2028 Sheridan Ave N,,,Minneapolis,MN,55411,,,,,45.000425,-93.31209,TRUE,FALSE,2016-06-03 14:14:14,,,,
17,Heritage Park Community Garden,,Community Garden,,,,,,787 Lyndale Pl N,,,Minneapolis,MN,55411,,,,,44.986205,-93.28907,TRUE,FALSE,2016-06-03 14:14:14,,,,
18,JD Rivers Childrens Garden,,Community Garden,,,,,,Glenwood Ave N & Washburn Ave,,,Minneapolis,MN,55405,,612.499.9248,,,44.80766,-93.317185,TRUE,FALSE,2016-06-03 14:14:14,,,,
19,Irving Gardens,,Community Garden,,,,,,246 Irving Ave N,,,Minneapolis,MN,55405,,612.374.4849,,,44.979484,-93.299088,TRUE,FALSE,2016-06-03 14:14:14,,,,
20,Logan Blooms,,Community Garden,,,,,,419 Logan Ave N,,,Minneapolis,MN,55405,,612.824.1343,,,44.982219,-93.303237,TRUE,FALSE,2016-06-03 14:14:14,,,,
21,Redeemer Urban Farm,,Community Garden,redeemercenter.org,,,,,1800 Glenwood Ave,,,Minneapolis,MN,55405,,612.377.4476,,,44.981012,-93.303484,TRUE,FALSE,2016-06-03 14:14:14,,,,
22,Plymouth Avenue Green Team (NRRC),,Community Garden,nrrc.org,,,,,1407 Plymouth Ave N,,,Minneapolis,MN,55411,,,,,44.991501,-93.298947,TRUE,FALSE,2016-06-03 14:14:14,,,,
23,Bogar Organic Green Garden,,Community Garden,,,,,,1522 Oliver Ave N,,,Minneapolis,MN,55411,,,,,44.99487,-93.306588,TRUE,FALSE,2016-06-03 14:14:14,,,,
24,Kwanza Church,,Community Garden,kwanzaachurch.org,,,,,3700 Bryant Ave N,,,Minneapolis,MN,55412,,612.354.3729,,,45.022378,-93.290193,TRUE,FALSE,2016-06-03 14:14:14,,,,
25,Youth Farm,,Community Garden,youthfarmmn.org,,,,,128 W 33rd St Ste 2,,,Minneapolis,MN,55408,,612.872.4226,,,44.943202,-93.28102,TRUE,FALSE,2016-06-03 14:14:14,,,,
26,Breaking Bread Café,,Culinary Arts,breakingbreadfoods.com,,,,,1210 W Broadway Ave,,,Minneapolis,MN,55411,,612.529.9346,,,44.999378,-93.29688,TRUE,FALSE,2016-06-03 14:14:14,,,,
27,Appetite for Change,,Culinary Arts,appetiteforchangemn.org,,,,,1200 W Broadway Ave #180,,,Minneapolis,MN,55411,,612.588.7611,,,44.999394,-93.29552,TRUE,FALSE,2016-06-03 14:14:14,,,,
28,Cookie Cart,,Culinary Arts,cookiecart.org,,,,,1119 W Broadway Ave,,,Minneapolis,MN,55411,,612.521.0855,,,44.998935,-93.95017,TRUE,FALSE,2016-06-03 14:14:14,,,,
29,Kindred Kitchen,,Culinary Arts,kindredkitchen.co,,,,,1206 W Broadway Ave #180,,,Minneapolis,MN,55411,,612.584.0728,,,44.999285,-93.295993,TRUE,FALSE,2016-06-03 14:14:14,,,,
30,Green Garden Bakery,,Culinary Arts,greengardenbakery.weebly.com,,,,,Heritage Park Neighborhood,,,Minneapolis,MN,55411,,612.767.1061,,,44.984996,-93.292841,TRUE,FALSE,2016-06-03 14:14:14,,,,
31,Youth Café,,Culinary Arts,http://alliancehhc.org/wordpress/wp-content/uploads/2013/10/Youth-Caf%C3%A9-flyer-10-12-13NewR-2.pdf,,,,,1701 Oak Park Ave N,,,Minneapolis,MN,55411,,612.377.7000,,,44.98744,-93.302365,TRUE,FALSE,2016-06-03 14:14:14,,,,
32,The Compostadores,,Food Hub,thecompostadores.wordpress.com/,,,,,n/a,,,Minneapolis,MN,n/a,,612.207.1442,,,,,TRUE,FALSE,2016-06-03 14:14:14,,,,
33,Northside Fresh,,Food Hub,http://www.northpointhealth.org/,,,,,1315 Penn Ave N,,,Minneapolis,MN,55411,,612.767.9174,,,44.99268,-93.308615,TRUE,FALSE,2016-06-03 14:14:14,,,,
34,Community Table,,Food Hub,communitytable.coop,,,,,P.O. Box 7821,,,Minneapolis,MN,55107,,,,,,,TRUE,FALSE,2016-06-03 14:14:14,,,,
35,Crystal Lake Floral Design,,Food Hub,crystallakefloral.com/index.html,,,,,1420 N Dowling Ave,,,Minneapolis,MN,55412,,612.522.3316,,,45.024044,-93.297875,TRUE,FALSE,2016-06-03 14:14:14,,,,
36,Folwell Park,,Food Distribution,minneapolisparks.org/parks__destinations/parks__lakes/folwell_park/,,,,,1615 Dowling Ave N,,,Minneapolis,MN,55412,,612.224.9656,,,,,TRUE,FALSE,2016-06-03 14:14:14,,,,
37,BrightSide Produce,,Food Distribution,brightsideproduce.com,,,,,2115 Summit Ave,,,Minneapolis,MN,55105,,,,,44.942104,-93.190248,TRUE,FALSE,2016-06-03 14:14:14,,,,
38,Northside Food Market,,Food Distribution,,,,,,3559 Lyndale Ave N,,,Minneapolis,MN,55412,,612.259.7218,,,45.020179,-93.288291,TRUE,FALSE,2016-06-03 14:14:14,,,,
39,Wirth Co-op Grocery,,Food Distribution,wirth.coop,,,,,1835 Penn Ave N,,,Minneapolis,MN,55411,,612.743.7221,,,44.99846,-93.308192,TRUE,FALSE,2016-06-03 14:14:14,,,,
40,West Broadway Farmers Market,,Food Distribution,wirth.coop,,,,,1011 W Broadway Ave Ste 202,,,Minneapolis,MN,55411,,612.353.5178,,,44.998928,-93.293147,TRUE,FALSE,2016-06-03 14:14:14,,,,
41,North High School,,Food Hub,north.mpls.k12.mn.us/,,,,,1500 James Ave N,,,Minneapolis,MN,55411,,612.668.1700,,,44.994177,-93.300563,TRUE,FALSE,2016-06-03 14:14:14,,,,